model_init_seed,weight_decay,lr,num_epochs,model_code,params,loss
25.0,0.0,0.0001,500.0,siren,771,2.8989193439483643
25.0,0.0,0.0005,500.0,siren,771,0.6154605746269226
25.0,0.0,0.001,500.0,siren,771,0.08783851563930511
25.0,0.0,0.005,500.0,siren,771,8.65098900248995e-06
25.0,0.0,0.01,500.0,siren,771,1.1010496564267669e-05
25.0,0.0,0.05,500.0,siren,771,5.656910616380628e-06
25.0,0.0,0.1,500.0,siren,771,2.7335563572705723e-06
25.0,0.0,0.5,500.0,siren,771,1.2194542250654195e-05
25.0,0.0,1e-05,500.0,siren,771,5.040655612945557
25.0,0.0,5e-05,500.0,siren,771,3.9210968017578125
