model_init_seed,lr,num_epochs,model_code,siren_omega,params,best_iter,loss
15.0,0.0001,500.0,siren,30.0,1579011,500,0.0027848996687680483
15.0,0.0001,500.0,siren,10.0,1579011,492,0.031136656180024147
15.0,0.0001,500.0,siren,60.0,1579011,499,0.001417663530446589
15.0,0.0001,500.0,siren,45.0,1579011,498,0.0012015145039185882
15.0,0.0001,500.0,siren,20.0,1579011,489,0.0089454660192132
15.0,0.0005,500.0,siren,30.0,1579011,342,1.624348442419432e-06
15.0,0.0005,500.0,siren,10.0,1579011,392,0.012631970457732677
15.0,0.0005,500.0,siren,60.0,1579011,7,0.9982089400291443
15.0,0.0005,500.0,siren,45.0,1579011,93,0.28803062438964844
15.0,0.0005,500.0,siren,20.0,1579011,472,6.594307342311367e-05
15.0,0.001,500.0,siren,30.0,1579011,8,0.968891441822052
15.0,0.001,500.0,siren,10.0,1579011,319,0.0037076410371810198
15.0,0.001,500.0,siren,60.0,1579011,200,0.9997537136077881
15.0,0.001,500.0,siren,45.0,1579011,112,0.999851405620575
15.0,0.001,500.0,siren,20.0,1579011,307,2.1989160359225934e-06
15.0,1e-05,500.0,siren,30.0,1579011,500,0.0457366444170475
15.0,1e-05,500.0,siren,10.0,1579011,500,0.0648220032453537
15.0,1e-05,500.0,siren,60.0,1579011,500,0.04849623143672943
15.0,1e-05,500.0,siren,45.0,1579011,499,0.04764610528945923
15.0,1e-05,500.0,siren,20.0,1579011,500,0.0486435629427433
