model_init_seed,lr,num_epochs,model_code,siren_omega,params,best_iter,loss
15.0,0.0001,500.0,siren,30.0,198915,500,0.02617160975933075
15.0,0.0001,500.0,siren,10.0,198915,500,0.05182523652911186
15.0,0.0001,500.0,siren,60.0,198915,500,0.01262709777802229
15.0,0.0001,500.0,siren,45.0,198915,500,0.017764421179890633
15.0,0.0001,500.0,siren,20.0,198915,500,0.03152353689074516
15.0,0.0005,500.0,siren,30.0,198915,375,0.007302969694137573
15.0,0.0005,500.0,siren,10.0,198915,497,0.02651972323656082
15.0,0.0005,500.0,siren,60.0,198915,463,0.0010593309998512268
15.0,0.0005,500.0,siren,45.0,198915,488,0.00193202483933419
15.0,0.0005,500.0,siren,20.0,198915,362,0.013049169443547726
15.0,0.001,500.0,siren,30.0,198915,403,0.0030940633732825518
15.0,0.001,500.0,siren,10.0,198915,427,0.02393125556409359
15.0,0.001,500.0,siren,60.0,198915,388,0.0020963221322745085
15.0,0.001,500.0,siren,45.0,198915,338,0.0013185018906369805
15.0,0.001,500.0,siren,20.0,198915,484,0.006238526199012995
15.0,1e-05,500.0,siren,30.0,198915,500,0.11894521862268448
15.0,1e-05,500.0,siren,10.0,198915,500,0.14036887884140015
15.0,1e-05,500.0,siren,60.0,198915,500,0.13171018660068512
15.0,1e-05,500.0,siren,45.0,198915,500,0.12711994349956512
15.0,1e-05,500.0,siren,20.0,198915,500,0.11333832889795303
