model_init_seed,lr,num_epochs,model_code,siren_omega,params,best_iter,loss
15.0,0.0001,500.0,siren,30.0,396291,490,0.013552938587963581
15.0,0.0001,500.0,siren,10.0,396291,500,0.04258177801966667
15.0,0.0001,500.0,siren,60.0,396291,489,0.004536773543804884
15.0,0.0001,500.0,siren,45.0,396291,499,0.006483437027782202
15.0,0.0001,500.0,siren,20.0,396291,500,0.022803863510489464
15.0,0.0005,500.0,siren,30.0,396291,497,0.000632910814601928
15.0,0.0005,500.0,siren,10.0,396291,500,0.017038477584719658
15.0,0.0005,500.0,siren,60.0,396291,371,3.996639134129509e-05
15.0,0.0005,500.0,siren,45.0,396291,277,0.0013728700578212738
15.0,0.0005,500.0,siren,20.0,396291,500,0.004425717517733574
15.0,0.001,500.0,siren,30.0,396291,435,2.6750223696581088e-05
15.0,0.001,500.0,siren,10.0,396291,443,0.0116786053404212
15.0,0.001,500.0,siren,60.0,396291,470,0.999904453754425
15.0,0.001,500.0,siren,45.0,396291,7,0.9963559508323669
15.0,0.001,500.0,siren,20.0,396291,324,0.0014562983997166157
15.0,1e-05,500.0,siren,30.0,396291,500,0.11616182327270508
15.0,1e-05,500.0,siren,10.0,396291,500,0.08827757835388184
15.0,1e-05,500.0,siren,60.0,396291,500,0.13975991308689117
15.0,1e-05,500.0,siren,45.0,396291,500,0.13051338493824005
15.0,1e-05,500.0,siren,20.0,396291,500,0.1013285219669342
